"date";"portal";"title";"position";"link";"fontSize";"Nazwisko"
2015-03-16;http://www.tvp.info/;„Trudno dodzwonic sie do Radia Maryja”. Jaroslaw z Warszawy o telefonie do Dudy;3;http://www.tvp.info/19275914/czesto-probowalem-sie-dodzwonic-do-radia-maryja-to-trudne-kaczynski-o-telefonicznych-pochwalach-dla-dudy;18;duda
2015-03-16;http://www.wprost.pl/;Sondaż: 46 proc. dla Komorowskiego, 31 proc. dla Dudy;3;http://www.wprost.pl/ar/498568/Sondaz-prezydencki-46-proc-dla-Komorowskiego-31-proc-dla-Dudy/;28;duda
2015-03-16;http://www.tvn24.pl/;Ogórek w fabryce zakretek, Kaczynski tlumaczy Dude;3;http://www.tvn24.pl/kampania-wyborcza-2015,524709,s.html;38;duda
2015-03-16;http://www.tvn24.pl/;Kaczynski o przeszlosci Dudy w Unii Wolnosci: to incydent;3;http://www.tvn24.pl/duda-w-unii-wolnosci-kaczynski-on-tego-nie-ukrywal,524620,s.html;38;duda
2015-03-16;http://www.gazeta.pl;Duda przebija 30 proc. Przewaga Komorowskiego jednak cały czas duża [NAJNOWSZY SONDAŻ];3;http://wiadomosci.gazeta.pl/wiadomosci/1,114871,17579233,Poparcie_dla_Dudy_rosnie__Komorowski_wygra_w_II_turze.html;20;duda
2015-03-16;http://www.gazeta.pl;Balcerowicz miażdży: SKOK-i to największa afera finansowa naszego sektora finansowego. A Duda na to?;3;http://www.tokfm.pl/Tokfm/1,103090,17575358,Balcerowicz_miazdzy___SKOK_i_to_najwieksza_afera_finansowa.html;20;duda
2015-03-16;http://www.dziennik.pl;Wielki skok Dudy! Najnowszy SONDAŻ daje mu drugą turę;3;http://wiadomosci.dziennik.pl/wybory-prezydenckie/artykuly/485479,komorowski-wygra-z-duda-dopiero-w-drugiej-turze-najnowszy-sondaz.html;28;duda
2015-03-16;http://www.newsweek.pl/;Poparcie dla Komorowskiego spada. Korzysta na tym Duda;3;http://polska.newsweek.pl/sondaz-poparcie-dla-komorowskiego-spada-drugi-duda-trzecia-ogorek,artykuly,359084,1.html;21;duda
2015-03-16;http://www.newsweek.pl/;4 informacje o Dudzie, których nie ma w gazetce PiS;3;http://polska.newsweek.pl/informacje-o-andrzeju-dudzie-ktorych-nie-podaje-pis,artykuly,359024,1.html;21;duda
2015-03-16;http://www.tvn24.pl/;Duda o konwencji antyprzemocowej: niebezpieczna i perfidna;3;http://www.tvn24.pl/konwencja-antyprzemocowa-duda-konwencja-niebezpieczna-i-perfidna,524325,s.html;38;duda
2015-03-16;http://www.tvn24.pl/;Duda uderza w Komorowskiego satyrycznym spotem wyborczym;3;http://fakty.tvn24.pl/ogladaj-online,60/pis-kpi-z-komorowskiego-w-nowym-spocie,524365.html;38;duda
2015-03-16;http://www.tvn24.pl/;Telefon z Kremla w spocie Dudy. Nalecz: wyglup, strzelanie ze stink granatów;3;http://www.tvn24.pl/telefon-z-kremla-w-spocie-dudy-nalecz-strzelanie-ze-stink-granatow,524296,s.html;38;duda
2015-03-16;http://www.wprost.pl/;Sondaż prezydencki: 46 proc. dla Komorowskiego, 31 proc. dla Dudy;2;http://www.wprost.pl/ar/498568/Sondaz-prezydencki-46-proc-dla-Komorowskiego-31-proc-dla-Dudy/;12;duda
2015-03-16;http://www.newsweek.pl/;4 informacje o Dudzie, których nie ma w gazetce PiS;2;http://polska.newsweek.pl/informacje-o-andrzeju-dudzie-ktorych-nie-podaje-pis,artykuly,359024,1.html;21;duda
2015-03-16;http://www.tvn24.pl/;Duda coraz silniejszy, topnieje przewaga Komorowskiego. Sondaz dla  Faktów  TVN;2;http://www.tvn24.pl/sondaz-prezydencki-dla-faktow-tvn,524725,s.html;14;duda
2015-03-16;http://www.tvn24.pl/;Ogórek w fabryce zakretek, Kaczynski tlumaczy Dude;2;http://www.tvn24.pl/ogorek-w-fabryce-zakretek-kaczynski-tlumaczy-dude,524709,s.html;14;duda
2015-03-16;http://www.tvn24.pl/;Kaczynski o przeszlosci Dudy w Unii Wolnosci: to incydent;2;http://www.tvn24.pl/kaczynski-o-przeszlosci-dudy-w-unii-wolnosci-to-incydent,524620,s.html;14;duda
2015-03-16;http://www.dziennik.pl;Newsweek  o teściu Dudy: Jest Żydem. Kaczyński odpowiada Lisowi;2;http://wiadomosci.dziennik.pl/polityka/artykuly/485474,newsweek-o-tesciu-dudy-zyd-kaczynski-odpowiada-lisowi.html;22;duda
2015-03-16;http://www.tvp.info/;„Trudno dodzwonic sie do Radia Maryja”. Jaroslaw z Warszawy o telefonie do Dudy;2;http://www.tvp.info.pl/19275914/czesto-probowalem-sie-dodzwonic-do-radia-maryja-to-trudne-kaczynski-o-telefonicznych-pochwalach-dla-dudy;18;duda
2015-03-16;http://wyborcza.pl/0,0.html?piano_d=1;Najnowszy sondaż: Komorowski bez zmian, Duda i Kukiz zyskują, Ogórek traci;2;http://wyborcza.pl/1,75478,17579184,Najnowszy_sondaz__Komorowski_bez_zmian__Duda_i_Kukiz.html;20;duda
2015-03-16;http://www.onet.pl/;Sztab Dudy wysmiewa Komorowskiego. Nowy spot;2;http://wiadomosci.onet.pl/kraj/nowy-spot-andrzeja-dudy-wysmiewa-bronislawa-komorowskiego/mhymfr;12;duda
2015-03-16;http://www.newsweek.pl/;Andrzej Duda byl dzialaczem Unii Wolnosci;2;http://polska.newsweek.pl/andrzej-duda-byl-dzialaczem-unii-wolnosci,artykuly,359002,1.html;21;duda
2015-03-16;http://www.newsweek.pl/;Ciupaga i niszczarka. Duda otwiera muzeum Komorowskiego;2;http://polska.newsweek.pl/wybory-prezydenckie-andrzej-duda-muzeum-otworzyl-zgody-komorowskiego,artykuly,358988,1.html;21;duda
2015-03-16;http://www.tvn24.pl/;Duda o konwencji antyprzemocowej: niebezpieczna i perfidna;2;http://www.tvn24.pl/duda-o-konwencji-antyprzemocowej-niebezpieczna-i-perfidna,524325,s.html;14;duda
2015-03-16;http://www.tvn24.pl/;Telefon z Kremla w spocie Dudy. Nalecz: wyglup, strzelanie ze stink granatów;2;http://www.tvn24.pl/telefon-z-kremla-w-spocie-dudy-nalecz-wyglup-strzelanie-ze-stink-granatow,524296,s.html;14;duda
2015-03-16;http://www.newsweek.pl/;Poparcie dla Komorowskiego spada. Korzysta na tym Duda;2;http://polska.newsweek.pl/sondaz-poparcie-dla-komorowskiego-spada-drugi-duda-trzecia-ogorek,artykuly,359084,1.html;21;duda
2015-03-16;http://www.wp.pl;Najnowsze badanie CBOS. Komorowski ma 52 proc. poparcia Duda 19 proc.;1;/kat,140394,title,Najnowsze-badanie-CBOS-Komorowski-ma-52-proc-poparcia-Duda-19-proc,wid,17350775,wiadomosc.html;18;duda
2015-03-16;http://www.tvn24.pl/;Ogórek w fabryce zakretek, Kaczynski tlumaczy Dude;1;http://www.tvn24.pl/kampania-wyborcza-2015,524709,s.html;14;duda
2015-03-16;http://www.tvn24.pl/;Kaczynski o przeszlosci Dudy w Unii Wolnosci: to incydent;1;http://www.tvn24.pl/duda-w-unii-wolnosci-kaczynski-on-tego-nie-ukrywal,524620,s.html;14;duda
2015-03-16;http://natemat.pl/;Duda pokazuje, ze kampania PiS zabrnela w slepy zaulek;1;http://natemat.pl/136683,tyszkiewicz-o-muzeum-zgody-slaby-dowcip-jak-mowi-mlodziez-suchar-pokazuje-ze-kampania-dudy-zabrnela-w-slepy-zaulek;24;duda
2015-03-16;http://natemat.pl/;Kretacz Duda;1;http://tomaszlis.natemat.pl/136613,kretacz-duda;24;duda
2015-03-16;http://natemat.pl/;Nalecz reaguje na spot Dudy: Prezydent nie odpowie wyglupem na wyglup;1;http://natemat.pl/136643,prof-nalecz-prezydent-nie-odpowie-wyglupem-na-wyglup-komentarze-po-spocie-osmieszajacym-komorowskiego;24;duda
2015-03-16;http://natemat.pl/;<U+2B06>Ataki Dudy splywaja po Komorowskim;1;http://natemat.pl/132313,barometr-wyborczy-natemat-zobacz-jak-dzisiaj-radzil-sobie-w-kampanii-bronislaw-komorowski;24;duda
2015-03-16;http://www.newsweek.pl/;SKOK,w,bok,Kandydat,Duda,jest,wzorem,etycznym,Podobnie,jak,inni,eurodeputowani,PiS;1;http://www.newsweek.pl/andrzej-duda-agent-cnoty,artykuly,358909,1,z.html;21;duda
2015-03-16;http://www.tvn24.pl/;Duda o konwencji antyprzemocowej: niebezpieczna i perfidna;1;http://www.tvn24.pl/konwencja-antyprzemocowa-duda-konwencja-niebezpieczna-i-perfidna,524325,s.html;14;duda
2015-03-16;http://www.tvn24.pl/;Duda uderza w Komorowskiego satyrycznym spotem wyborczym;1;http://www.tvn24.plhttp://fakty.tvn24.pl/ogladaj-online,60/pis-kpi-z-komorowskiego-w-nowym-spocie,524365.html;14;duda
2015-03-16;http://www.tvn24.pl/;Telefon z Kremla w spocie Dudy. Nalecz: wyglup, strzelanie ze stink granatów;1;http://www.tvn24.pl/telefon-z-kremla-w-spocie-dudy-nalecz-strzelanie-ze-stink-granatow,524296,s.html;14;duda
2015-03-16;http://natemat.pl/;Konwencja perfidnai niebezpieczna . Duda bardzo krytycznie o antyprzemocowym akcie;1;http://natemat.pl/136653,konwencja-jako-najwieksze-zlo-duda-bardzo-krytycznie-o-antyprzemocowym-akcie;24;duda
2015-03-16;http://natemat.pl/;Duda otwiera „Muzeum Komorowskiego”;1;http://natemat.pl/136557,andrzej-duda-punktuje-niespelnione-obietnice-prezydenta-i-otwiera-muzeum-komorowskiego;24;duda
2015-03-16;http://www.newsweek.pl/;Korwin-Mikke: To Amerykanie zdestabilizowali Ukraine;3;http://swiat.newsweek.pl/janusz-korwin-mikke-teorie-spiskowe-ameryka-chce-oslabic-rosje,artykuly,359188,1.html;21;korwin
2015-03-16;http://www.tvn24.pl/;Air Korwin One  wyladowal.  W nastepnych wyborach rakieta bedziemy latali;3;http://www.tvn24.pl/wideo/z-anteny/odlotowa-kampania-janusza-korwin-mikkego,1401996.html?playlist_id=18201;38;korwin
2015-03-16;http://www.onet.pl/;  Janusz Korwin-Mikke zrobil furore na wielkiej imprezie w katowickim Spodku. Zobacz, co zrobil ;3;http://gry.onet.pl/iem-katowice-2015-janusz-korwin-mikke-z-cosplayerka/y806mz;14;korwin
2015-03-16;http://www.tvn24.pl/;Korwin-Mikke ostrzega przed falszowaniem wyborów.  Moi ludzie wyjda na ulice;3;/wiadomosci-z-kraju,3/korwin-mikke-ostrzega-przed-falszowaniem-wyborow-moi-ludzie-wyjda-na-ulice,523365.html;38;korwin
2015-03-16;http://www.tvp.info/;Latajaca kampania. Air Korwin One rusza w niebo;2;http://www.tvp.info.plhttp://wiadomosci.tvp.pl/19278332/odlot;18;korwin
2015-03-16;http://www.wprost.pl/;Bohatersko przelecieliśmy przez Wisłę . Korwin-Mikke lata Air Korwin One;2;http://www.wprost.pl/ar/498578/Bohatersko-przelecielismy-przez-Wisle-Korwin-Mikke-lata-Air-Korwin-One/;12;korwin
2015-03-16;http://www.onet.pl/;Karolina Korwin Piotrowska: nie bedzie mi zaden klecha ani publicysta mówil, z kim mam spac;2;http://wiadomosci.onet.pl/wara-od-mojego-psa-i-mojego-lozka/jk31e2;12;korwin
2015-03-16;http://www.wp.pl;Janusz Korwin-Mikke: Polska marnuje to, czego się dorobiła;1;/kat,140394,title,Janusz-Korwin-Mikke-Polska-marnuje-to-czego-sie-dorobila,wid,17353007,wiadomosc.html;18;korwin
2015-03-16;http://www.onet.pl/;Nowa partia Korwin-Mikkego. Zaglosujecie na nia?;1;http://wiadomosci.onet.pl/tablica/nowa-partia-korwin-mikkego-zaglosujecie-na-nia,1668,1020088,153124061,watek.html;12;korwin
2015-03-16;http://www.tvn24.pl/;Air Korwin One  wyladowal.  W nastepnych wyborach rakieta bedziemy latali;1;http://www.tvn24.pl/wideo/z-anteny/odlotowa-kampania-janusza-korwin-mikkego,1401996.html?playlist_id=18201;14;korwin
2015-03-16;http://natemat.pl/;Gry polityczne. Korwin wsród przebieranców na Intel Extreme Masters;1;http://natemat.pl/136635,bitwa-o-autograf-korwin-mikke-wsrod-przebierancow-na-intel-extreme-masters-w-katowicach;24;korwin
2015-03-16;http://www.gazeta.pl;Podnieście głowy , leci wolność! JKM podbija Instagram;1;http://deser.pl/deser/56,111858,17577783,__Podniescie_glowy_do_gory__to_leci_wolnosc____Janusz.html;14;korwin
2015-03-16;http://www.onet.pl/;Korwin-Mikke: panstwo nie powinno wtracac sie w to, co obywatel je, pije i pali;1;http://wiadomosci.onet.pl/warszawa/korwin-mikke-w-legionowie-zapowiada-zmiane-konstytucji/12cm3r;12;korwin
2015-03-16;http://www.tvn24.pl/;Korwin-Mikke ostrzega przed falszowaniem wyborów.  Moi ludzie wyjda na ulice;1;http://www.tvn24.pl/wiadomosci-z-kraju,3/korwin-mikke-ostrzega-przed-falszowaniem-wyborow-moi-ludzie-wyjda-na-ulice,523365.html;14;korwin
2015-03-16;http://natemat.pl/;Pawel Kukiz zebral 100 tys. podpisów.  W piatek rejestruje sie jako kandydat na prezydenta;3;http://natemat.pl/136783,pawel-kukiz-zebral-100-000-podpisow-w-piatek-rejestruje-sie-jako-kandydat-na-prezydenta;24;kukiz
2015-03-16;http://wyborcza.pl/0,0.html?piano_d=1;Nowy sondaż Millward Brown dla  Faktów  TVN. Kukiz wyprzedza Magdalenę Ogórek;3;http://wyborcza.pl/1,75478,17579184,Najnowszy_sondaz__Komorowski_bez_zmian__Duda_i_Kukiz.html;19;kukiz
2015-03-16;http://natemat.pl/;Pawel Kukiz zebral 100 tys. podpisów.  W piatek rejestruje sie jako kandydat na prezydenta;2;http://natemat.pl/136783,pawel-kukiz-zebral-100-000-podpisow-w-piatek-rejestruje-sie-jako-kandydat-na-prezydenta;24;kukiz
2015-03-16;http://natemat.pl/;Kukiz nie ma zamiaru sie wycofywac;2;http://natemat.pl/136551,pawel-kukiz-zacheca-do-zbierania-podpisow-brakuje-ok-20-tys;24;kukiz
