"lastname";"mean_retweet";"sum_retweet";"mean_like";"sum_like";"how_many_tweets";"date"
AndrzejDuda;17.75;71;60.25;241;4;2015-04-04
JarubasAdam;1;1;5;5;1;2015-04-04
JkmMikke;17.5;35;40;80;2;2015-04-04
Komorowski;6.5;13;18.5;37;2;2015-04-04
ogorekmagda;8.5;17;26;52;2;2015-04-04
Palikot_Janusz;6.5;13;39;78;2;2015-04-04
PrezydentKukiz;4.2;21;17.6;88;5;2015-04-04
AndrzejDuda;2;4;18.5;37;2;2015-04-07
JarubasAdam;0.5;1;1.5;3;2;2015-04-07
JkmMikke;32;32;53;53;1;2015-04-07
Komorowski;3.85714285714286;81;5.28571428571429;111;21;2015-04-07
M_Kowalski1;1.5;3;1.5;3;2;2015-04-07
ogorekmagda;13;13;20;20;1;2015-04-07
Palikot_Janusz;1.84615384615385;24;4.76923076923077;62;13;2015-04-07
PrezydentKukiz;0.933333333333333;14;6.4;96;15;2015-04-07
AndrzejDuda;2.5;5;4.5;9;2;2015-04-08
AnnaGrodzka;1;1;1;1;1;2015-04-08
JarubasAdam;0;0;1;1;1;2015-04-08
Komorowski;17.5;70;8.25;33;4;2015-04-08
M_Kowalski1;1;1;1;1;1;2015-04-08
ogorekmagda;7;7;16;16;1;2015-04-08
Palikot_Janusz;3.65217391304348;84;14.5652173913043;335;23;2015-04-08
PrezydentKukiz;4.22222222222222;38;4.66666666666667;42;9;2015-04-08
AndrzejDuda;0;0;1;1;1;2015-04-09
AnnaGrodzka;3;6;4.5;9;2;2015-04-09
JkmMikke;6;6;23;23;1;2015-04-09
Komorowski;6;18;9;27;3;2015-04-09
M_Kowalski1;0.857142857142857;6;2.14285714285714;15;7;2015-04-09
ogorekmagda;3;3;26;26;1;2015-04-09
Palikot_Janusz;2.5;20;10;80;8;2015-04-09
PrezydentKukiz;2.125;17;4.125;33;8;2015-04-09
WandaNowicka;4.25;17;5.25;21;4;2015-04-09
AndrzejDuda;5.4;81;22.9333333333333;344;15;2015-04-10
JarubasAdam;4.66666666666667;14;6.33333333333333;19;3;2015-04-10
Komorowski;74.5;149;45;90;2;2015-04-10
ogorekmagda;9;9;28;28;1;2015-04-10
Palikot_Janusz;0.166666666666667;1;2.66666666666667;16;6;2015-04-10
PrezydentKukiz;2;38;6.36842105263158;121;19;2015-04-10
AndrzejDuda;11.8461538461538;154;27.1538461538462;353;13;2015-04-11
JarubasAdam;3;9;3;9;3;2015-04-11
M_Kowalski1;6.66666666666667;20;4.33333333333333;13;3;2015-04-11
Palikot_Janusz;3.88888888888889;35;16.4444444444444;148;9;2015-04-11
PrezydentKukiz;2.48;62;6.2;155;25;2015-04-11
WandaNowicka;0;0;0;0;1;2015-04-11
AnnaGrodzka;1.5;3;5.5;11;2;2015-04-13
JarubasAdam;1.25;5;1;4;4;2015-04-13
Komorowski;10.4;52;22;110;5;2015-04-13
ogorekmagda;18;18;18;18;1;2015-04-13
Palikot_Janusz;2.80952380952381;59;7.47619047619048;157;21;2015-04-13
PrezydentKukiz;1.82978723404255;86;5.70212765957447;268;47;2015-04-13
WandaNowicka;0.142857142857143;1;1.42857142857143;10;7;2015-04-13
AndrzejDuda;25.25;101;40.5;162;4;2015-04-14
JarubasAdam;1.83333333333333;11;2.33333333333333;14;6;2015-04-14
JkmMikke;19;19;87;87;1;2015-04-14
Komorowski;8.75;35;9.5;38;4;2015-04-14
M_Kowalski1;0;0;0;0;1;2015-04-14
ogorekmagda;10;20;13.5;27;2;2015-04-14
Palikot_Janusz;2.22222222222222;20;6.22222222222222;56;9;2015-04-14
PrezydentKukiz;1.33333333333333;44;4.57575757575758;151;33;2015-04-14
WandaNowicka;0;0;3;3;1;2015-04-14
AndrzejDuda;1;2;6.5;13;2;2015-04-15
AnnaGrodzka;3;3;2;2;1;2015-04-15
Komorowski;2.51351351351351;93;4.62162162162162;171;37;2015-04-15
ogorekmagda;7;7;16;16;1;2015-04-15
Palikot_Janusz;3.9375;63;10.25;164;16;2015-04-15
PrezydentKukiz;1.26190476190476;53;5.14285714285714;216;42;2015-04-15
AndrzejDuda;0.333333333333333;1;5;15;3;2015-04-16
JarubasAdam;5;15;6;18;3;2015-04-16
Komorowski;1.73076923076923;45;4.26923076923077;111;26;2015-04-16
M_Kowalski1;2.5;15;3.66666666666667;22;6;2015-04-16
ogorekmagda;6;6;20;20;1;2015-04-16
Palikot_Janusz;4.25;119;10.1071428571429;283;28;2015-04-16
PrezydentKukiz;1.23684210526316;47;4.18421052631579;159;38;2015-04-16
AndrzejDuda;3.82352941176471;65;10.4117647058824;177;17;2015-04-17
AnnaGrodzka;2;2;3;3;1;2015-04-17
JarubasAdam;1;1;2;2;1;2015-04-17
Komorowski;4.44444444444444;40;6.66666666666667;60;9;2015-04-17
M_Kowalski1;1;1;2;2;1;2015-04-17
ogorekmagda;19.3333333333333;58;38.3333333333333;115;3;2015-04-17
Palikot_Janusz;3.16666666666667;57;8.11111111111111;146;18;2015-04-17
PrezydentKukiz;2.32432432432432;86;6.48648648648649;240;37;2015-04-17
WandaNowicka;0;0;3;3;1;2015-04-17
AndrzejDuda;1;1;8;8;1;2015-04-18
AnnaGrodzka;10;10;16;16;1;2015-04-18
JarubasAdam;4.4;22;6.6;33;5;2015-04-18
Komorowski;2.94736842105263;56;5.31578947368421;101;19;2015-04-18
M_Kowalski1;5;5;7;7;1;2015-04-18
ogorekmagda;7.5;15;11;22;2;2015-04-18
Palikot_Janusz;4.5625;73;13.5;216;16;2015-04-18
PrezydentKukiz;2.34615384615385;61;9;234;26;2015-04-18
WandaNowicka;1.5;3;0.5;1;2;2015-04-18
AndrzejDuda;19;38;21;42;2;2015-04-19
JarubasAdam;1.66666666666667;5;3;9;3;2015-04-19
Komorowski;3.44444444444444;62;4.88888888888889;88;18;2015-04-19
ogorekmagda;9;9;15;15;1;2015-04-19
Palikot_Janusz;8;16;22;44;2;2015-04-19
PrezydentKukiz;3.92592592592593;106;9.96296296296296;269;27;2015-04-19
WandaNowicka;1.5;6;4;16;4;2015-04-19
AndrzejDuda;4.5;18;7.25;29;4;2015-04-20
JarubasAdam;2.5;20;4.875;39;8;2015-04-20
Komorowski;3;3;6;6;1;2015-04-20
Palikot_Janusz;2.58333333333333;31;8.91666666666667;107;12;2015-04-20
PrezydentKukiz;1.38235294117647;47;6.11764705882353;208;34;2015-04-20
WandaNowicka;0.5;1;2;4;2;2015-04-20
JarubasAdam;0.2;1;0.6;3;5;2015-04-21
Komorowski;2.75;11;1.25;5;4;2015-04-21
M_Kowalski1;1.6;8;2.8;14;5;2015-04-21
Palikot_Janusz;5;45;13.3333333333333;120;9;2015-04-21
PrezydentKukiz;2.46666666666667;37;8;120;15;2015-04-21
WandaNowicka;0.5;3;1.16666666666667;7;6;2015-04-21
AndrzejDuda;3.46666666666667;52;12.0666666666667;181;15;2015-04-22
JarubasAdam;2.5;5;2.5;5;2;2015-04-22
Komorowski;3.82608695652174;88;4.34782608695652;100;23;2015-04-22
M_Kowalski1;1;3;1.66666666666667;5;3;2015-04-22
Palikot_Janusz;3.27586206896552;95;9.58620689655172;278;29;2015-04-22
PrezydentKukiz;1.38709677419355;43;5.35483870967742;166;31;2015-04-22
WandaNowicka;0;0;0;0;1;2015-04-22
AndrzejDuda;12;24;39;78;2;2015-04-23
AnnaGrodzka;2;4;3;6;2;2015-04-23
JarubasAdam;3;36;1.58333333333333;19;12;2015-04-23
Komorowski;3.4;34;4.1;41;10;2015-04-23
M_Kowalski1;2;2;3;3;1;2015-04-23
ogorekmagda;17.75;71;18.5;74;4;2015-04-23
Palikot_Janusz;2.68965517241379;78;6.27586206896552;182;29;2015-04-23
PrezydentKukiz;2.37037037037037;64;7.74074074074074;209;27;2015-04-23
WandaNowicka;0.333333333333333;1;1.66666666666667;5;3;2015-04-23
AndrzejDuda;17.875;143;33.5;268;8;2015-04-24
JarubasAdam;1.83333333333333;11;3.66666666666667;22;6;2015-04-24
Komorowski;5.33333333333333;112;8.09523809523809;170;21;2015-04-24
ogorekmagda;10;10;21;21;1;2015-04-24
Palikot_Janusz;3.92857142857143;55;11.5;161;14;2015-04-24
PrezydentKukiz;2.08;52;8.72;218;25;2015-04-24
WandaNowicka;1;1;1;1;1;2015-04-24
AndrzejDuda;1.2;6;5;25;5;2015-04-25
AnnaGrodzka;3.5;7;6;12;2;2015-04-25
JarubasAdam;2.625;21;1.375;11;8;2015-04-25
Palikot_Janusz;6.57142857142857;92;14.4285714285714;202;14;2015-04-25
PrezydentKukiz;0.833333333333333;15;3.33333333333333;60;18;2015-04-25
WandaNowicka;0;0;1;3;3;2015-04-25
JarubasAdam;1.33333333333333;4;0.666666666666667;2;3;2015-04-26
Komorowski;5.18181818181818;57;8.18181818181818;90;11;2015-04-26
ogorekmagda;8.66666666666667;26;12.3333333333333;37;3;2015-04-26
Palikot_Janusz;4.28571428571429;60;8.71428571428571;122;14;2015-04-26
PrezydentKukiz;1.96296296296296;53;4.51851851851852;122;27;2015-04-26
WandaNowicka;0;0;0;0;1;2015-04-26
JarubasAdam;2;2;4;4;1;2015-04-27
JkmMikke;17;17;38;38;1;2015-04-27
Komorowski;4.8;24;4;20;5;2015-04-27
ogorekmagda;11.5;23;20.5;41;2;2015-04-27
Palikot_Janusz;2.6;13;10.2;51;5;2015-04-27
PrezydentKukiz;2.19354838709677;68;4.80645161290323;149;31;2015-04-27
JarubasAdam;2;6;2.33333333333333;7;3;2015-04-28
Komorowski;2.25;27;3.75;45;12;2015-04-28
M_Kowalski1;0.333333333333333;1;0.666666666666667;2;3;2015-04-28
ogorekmagda;8.5;17;23;46;2;2015-04-28
Palikot_Janusz;4.25;102;9.70833333333333;233;24;2015-04-28
PrezydentKukiz;2.19565217391304;101;9.10869565217391;419;46;2015-04-28
WandaNowicka;0.3;3;0.6;6;10;2015-04-28
AndrzejDuda;8.33333333333333;25;11;33;3;2015-04-29
AnnaGrodzka;3;3;5;5;1;2015-04-29
JarubasAdam;1.5;9;1.5;9;6;2015-04-29
JkmMikke;6.33333333333333;19;22;66;3;2015-04-29
Komorowski;3.42857142857143;72;4.23809523809524;89;21;2015-04-29
Palikot_Janusz;4.13333333333333;124;7.9;237;30;2015-04-29
PrezydentKukiz;4;92;13.695652173913;315;23;2015-04-29
WandaNowicka;0;0;0;0;3;2015-04-29
AndrzejDuda;2.28571428571429;16;4.71428571428571;33;7;2015-04-30
AnnaGrodzka;2;6;2.33333333333333;7;3;2015-04-30
JarubasAdam;1;1;1;1;1;2015-04-30
JkmMikke;11;44;33.75;135;4;2015-04-30
Komorowski;3.4375;55;6.75;108;16;2015-04-30
M_Kowalski1;1;2;2;4;2;2015-04-30
ogorekmagda;9;9;8;8;1;2015-04-30
Palikot_Janusz;3.58333333333333;43;9.25;111;12;2015-04-30
PrezydentKukiz;3.45454545454545;38;9.54545454545454;105;11;2015-04-30
WandaNowicka;0.4;2;0.8;4;5;2015-04-30
AndrzejDuda;1.22222222222222;11;3.22222222222222;29;9;2015-05-01
AnnaGrodzka;3;3;3;3;1;2015-05-01
JarubasAdam;3;6;3;6;2;2015-05-01
Komorowski;7.5;30;8.75;35;4;2015-05-01
M_Kowalski1;6;12;10;20;2;2015-05-01
ogorekmagda;5;10;8.5;17;2;2015-05-01
Palikot_Janusz;3.7;37;9.8;98;10;2015-05-01
PrezydentKukiz;11.5;46;33;132;4;2015-05-01
WandaNowicka;2;2;4;4;1;2015-05-01
AndrzejDuda;0.4;2;0.4;2;5;2015-05-02
JarubasAdam;1.75;7;3.5;14;4;2015-05-02
JkmMikke;8;16;30.5;61;2;2015-05-02
Komorowski;5.6;28;8.6;43;5;2015-05-02
ogorekmagda;6;12;11.5;23;2;2015-05-02
Palikot_Janusz;13.7272727272727;151;52.4545454545455;577;11;2015-05-02
PrezydentKukiz;11;11;60;60;1;2015-05-02
AndrzejDuda;4.8;24;13;65;5;2015-05-03
JarubasAdam;2.25;9;4.75;19;4;2015-05-03
JkmMikke;25;25;79;79;1;2015-05-03
Komorowski;3.41666666666667;41;6.58333333333333;79;12;2015-05-03
M_Kowalski1;1;1;5;5;1;2015-05-03
ogorekmagda;9;9;17;17;1;2015-05-03
Palikot_Janusz;5.06666666666667;76;13.6;204;15;2015-05-03
PrezydentKukiz;8.5;17;18.5;37;2;2015-05-03
AndrzejDuda;10;30;8.33333333333333;25;3;2015-05-04
AnnaGrodzka;1;1;5;5;1;2015-05-04
JarubasAdam;2.33333333333333;7;4;12;3;2015-05-04
Komorowski;2;2;6;6;1;2015-05-04
Palikot_Janusz;6.66666666666667;20;14.6666666666667;44;3;2015-05-04
PrezydentKukiz;2.33333333333333;14;4.5;27;6;2015-05-04
WandaNowicka;2;4;5.5;11;2;2015-05-04
AndrzejDuda;37;37;46;46;1;2015-05-05
JarubasAdam;2;4;2.5;5;2;2015-05-05
Komorowski;4.61538461538461;120;7.57692307692308;197;26;2015-05-05
ogorekmagda;5;5;20;20;1;2015-05-05
Palikot_Janusz;5.5;66;22.8333333333333;274;12;2015-05-05
PrezydentKukiz;6.25;25;24;96;4;2015-05-05
WandaNowicka;0.785714285714286;11;1.78571428571429;25;14;2015-05-05
JkmMikke;30;30;165;165;1;2015-05-06
